from,to,n
"(0, 1, 1)","(3, 1, 2)",2.3492061918673545e-06
"(3, 1, 2)","(0, 1, 1)",2.3492061918673545e-06
"(0, 2, 1)","(3, 1, 2)",2.703849394519932e-06
"(3, 1, 2)","(0, 2, 1)",2.703849394519932e-06
"(0, 0, 1)","(1, 2, 2)",1.418552335605585e-10
"(1, 2, 2)","(0, 0, 1)",1.418552335605585e-10
"(0, 1, 1)","(1, 2, 2)",1.477097073560448e-10
"(1, 2, 2)","(0, 1, 1)",1.477097073560448e-10
"(0, 2, 1)","(1, 2, 2)",1.6450693143968905e-10
"(1, 2, 2)","(0, 2, 1)",1.6450693143968905e-10
"(0, 0, 1)","(2, 2, 2)",1.418552335605585e-10
"(2, 2, 2)","(0, 0, 1)",1.418552335605585e-10
"(0, 1, 1)","(2, 2, 2)",1.4770970735604482e-10
"(2, 2, 2)","(0, 1, 1)",1.4770970735604482e-10
"(0, 2, 1)","(2, 2, 2)",1.6450693143968905e-10
"(2, 2, 2)","(0, 2, 1)",1.6450693143968905e-10
"(0, 0, 1)","(3, 2, 2)",1.4185523356055848e-10
"(3, 2, 2)","(0, 0, 1)",1.4185523356055848e-10
"(0, 1, 1)","(3, 2, 2)",1.477097073560448e-10
"(3, 2, 2)","(0, 1, 1)",1.477097073560448e-10
"(0, 2, 1)","(3, 2, 2)",1.6450693143968905e-10
"(3, 2, 2)","(0, 2, 1)",1.6450693143968905e-10
"(0, 0, 2)","(1, 0, 0)",8.033127680519768e-10
"(1, 0, 0)","(0, 0, 2)",8.033127680519768e-10
"(0, 1, 2)","(1, 0, 0)",8.236245904852121e-10
"(1, 0, 0)","(0, 1, 2)",8.236245904852121e-10
"(0, 2, 2)","(1, 0, 0)",8.883079205935274e-10
"(1, 0, 0)","(0, 2, 2)",8.883079205935274e-10
"(0, 0, 2)","(2, 0, 0)",7.632364296233323e-10
"(2, 0, 0)","(0, 0, 2)",7.632364296233323e-10
"(0, 1, 2)","(2, 0, 0)",7.811932306901575e-10
"(2, 0, 0)","(0, 1, 2)",7.811932306901575e-10
"(0, 2, 2)","(2, 0, 0)",8.394694300976689e-10
"(2, 0, 0)","(0, 2, 2)",8.394694300976689e-10
"(0, 0, 2)","(3, 0, 0)",7.632364296233323e-10
"(3, 0, 0)","(0, 0, 2)",7.632364296233323e-10
"(0, 1, 2)","(3, 0, 0)",7.811932306901575e-10
"(3, 0, 0)","(0, 1, 2)",7.811932306901575e-10
"(0, 2, 2)","(3, 0, 0)",8.394694300976691e-10
"(3, 0, 0)","(0, 2, 2)",8.394694300976691e-10
"(0, 0, 2)","(1, 0, 1)",1.5247095317986595e-09
"(1, 0, 1)","(0, 0, 2)",1.5247095317986595e-09
"(0, 1, 2)","(1, 0, 1)",1.5840040722550495e-09
"(1, 0, 1)","(0, 1, 2)",1.5840040722550495e-09
"(0, 2, 2)","(1, 0, 1)",1.7559391537512547e-09
"(1, 0, 1)","(0, 2, 2)",1.7559391537512547e-09
"(0, 0, 2)","(2, 0, 1)",1.1921624103499457e-09
"(2, 0, 1)","(0, 0, 2)",1.1921624103499457e-09
"(0, 1, 2)","(2, 0, 1)",1.2319161531971238e-09
"(2, 0, 1)","(0, 1, 2)",1.2319161531971238e-09
"(0, 2, 2)","(2, 0, 1)",1.3506877670342376e-09
"(2, 0, 1)","(0, 2, 2)",1.3506877670342376e-09
"(0, 0, 2)","(3, 0, 1)",1.1921624103499453e-09
"(3, 0, 1)","(0, 0, 2)",1.1921624103499453e-09
"(0, 1, 2)","(3, 0, 1)",1.2319161531971234e-09
"(3, 0, 1)","(0, 1, 2)",1.2319161531971234e-09
"(0, 2, 2)","(3, 0, 1)",1.3506877670342372e-09
"(3, 0, 1)","(0, 2, 2)",1.3506877670342372e-09
"(0, 0, 2)","(1, 0, 2)",7.395316980490541e-06
"(1, 0, 2)","(0, 0, 2)",7.395316980490541e-06
"(0, 1, 2)","(1, 0, 2)",7.82979212456391e-06
"(1, 0, 2)","(0, 1, 2)",7.82979212456391e-06
"(0, 2, 2)","(1, 0, 2)",9.011870781685342e-06
"(1, 0, 2)","(0, 2, 2)",9.011870781685342e-06
"(0, 0, 2)","(2, 0, 2)",3.699214528583993e-06
"(2, 0, 2)","(0, 0, 2)",3.699214528583993e-06
"(0, 1, 2)","(2, 0, 2)",3.91650484834189e-06
"(2, 0, 2)","(0, 1, 2)",3.91650484834189e-06
"(0, 2, 2)","(2, 0, 2)",4.5077012393080735e-06
"(2, 0, 2)","(0, 2, 2)",4.5077012393080735e-06
"(0, 0, 2)","(3, 0, 2)",3.699214528583993e-06
"(3, 0, 2)","(0, 0, 2)",3.699214528583993e-06
"(0, 1, 2)","(3, 0, 2)",3.916504848341888e-06
"(3, 0, 2)","(0, 1, 2)",3.916504848341888e-06
"(0, 2, 2)","(3, 0, 2)",4.5077012393080735e-06
"(3, 0, 2)","(0, 2, 2)",4.5077012393080735e-06
"(0, 0, 2)","(1, 1, 1)",4.229531210026089e-10
"(1, 1, 1)","(0, 0, 2)",4.229531210026089e-10
"(0, 1, 2)","(1, 1, 1)",4.4163834667083107e-10
"(1, 1, 1)","(0, 1, 2)",4.4163834667083107e-10
"(0, 2, 2)","(1, 1, 1)",4.946352018271001e-10
"(1, 1, 1)","(0, 2, 2)",4.946352018271001e-10
"(0, 0, 2)","(2, 1, 1)",3.5410396097046154e-10
"(2, 1, 1)","(0, 0, 2)",3.5410396097046154e-10
"(0, 1, 2)","(2, 1, 1)",3.687441424422232e-10
"(2, 1, 1)","(0, 1, 2)",3.687441424422232e-10
"(0, 2, 2)","(2, 1, 1)",4.1073567979668134e-10
"(2, 1, 1)","(0, 2, 2)",4.1073567979668134e-10
"(0, 0, 2)","(3, 1, 1)",3.5410396097046143e-10
"(3, 1, 1)","(0, 0, 2)",3.5410396097046143e-10
"(0, 1, 2)","(3, 1, 1)",3.687441424422232e-10
"(3, 1, 1)","(0, 1, 2)",3.687441424422232e-10
"(0, 2, 2)","(3, 1, 1)",4.1073567979668124e-10
"(3, 1, 1)","(0, 2, 2)",4.1073567979668124e-10
"(0, 0, 2)","(1, 1, 2)",4.437009720379051e-06
"(1, 1, 2)","(0, 0, 2)",4.437009720379051e-06
"(0, 1, 2)","(1, 1, 2)",4.697676386225219e-06
"(1, 1, 2)","(0, 1, 2)",4.697676386225219e-06
"(0, 2, 2)","(1, 1, 2)",5.40687620327276e-06
"(1, 1, 2)","(0, 2, 2)",5.40687620327276e-06
"(0, 0, 2)","(2, 1, 2)",2.2195908589338436e-06
"(2, 1, 2)","(0, 0, 2)",2.2195908589338436e-06
"(0, 1, 2)","(2, 1, 2)",2.349981195570093e-06
"(2, 1, 2)","(0, 1, 2)",2.349981195570093e-06
"(0, 2, 2)","(2, 1, 2)",2.7047385769400065e-06
"(2, 1, 2)","(0, 2, 2)",2.7047385769400065e-06
"(0, 0, 2)","(3, 1, 2)",2.2195908589338453e-06
"(3, 1, 2)","(0, 0, 2)",2.2195908589338453e-06
"(0, 1, 2)","(3, 1, 2)",2.349981195570094e-06
"(3, 1, 2)","(0, 1, 2)",2.349981195570094e-06
"(0, 2, 2)","(3, 1, 2)",2.704738576940008e-06
"(3, 1, 2)","(0, 2, 2)",2.704738576940008e-06
"(0, 0, 2)","(1, 2, 2)",9.861800373874404e-07
"(1, 2, 2)","(0, 0, 2)",9.861800373874404e-07
"(0, 1, 2)","(1, 2, 2)",1.0441161541676325e-06
"(1, 2, 2)","(0, 1, 2)",1.0441161541676325e-06
"(0, 2, 2)","(1, 2, 2)",1.201743931170769e-06
"(1, 2, 2)","(0, 2, 2)",1.201743931170769e-06
"(0, 0, 2)","(2, 2, 2)",9.861800373874402e-07
"(2, 2, 2)","(0, 0, 2)",9.861800373874402e-07
"(0, 1, 2)","(2, 2, 2)",1.0441161541676327e-06
"(2, 2, 2)","(0, 1, 2)",1.0441161541676327e-06
"(0, 2, 2)","(2, 2, 2)",1.2017439311707691e-06
"(2, 2, 2)","(0, 2, 2)",1.2017439311707691e-06
"(0, 0, 2)","(3, 2, 2)",9.861800373874404e-07
"(3, 2, 2)","(0, 0, 2)",9.861800373874404e-07
"(0, 1, 2)","(3, 2, 2)",1.0441161541676327e-06
"(3, 2, 2)","(0, 1, 2)",1.0441161541676327e-06
"(0, 2, 2)","(3, 2, 2)",1.2017439311707696e-06
"(3, 2, 2)","(0, 2, 2)",1.2017439311707696e-06
"(1, 0, 0)","(1, 0, 0)",0.022157440754628648
"(1, 0, 0)","(2, 0, 0)",2.8577464075511115e-06
"(1, 0, 0)","(3, 0, 0)",2.8577464075511115e-06
"(2, 0, 0)","(1, 0, 0)",2.8577464075511115e-06
"(2, 0, 0)","(2, 0, 0)",0.022157057690613345
"(2, 0, 0)","(3, 0, 0)",3.24074869728907e-06
"(3, 0, 0)","(1, 0, 0)",2.8577464075511123e-06
"(3, 0, 0)","(2, 0, 0)",3.2407486972890704e-06
"(3, 0, 0)","(3, 0, 0)",0.022157057690613345
"(1, 0, 0)","(1, 0, 1)",3.1387517836442296e-06
"(1, 0, 1)","(1, 0, 0)",3.1387517836442296e-06
"(2, 0, 0)","(1, 0, 1)",2.6882662208855124e-06
"(1, 0, 1)","(2, 0, 0)",2.6882662208855124e-06
"(3, 0, 0)","(1, 0, 1)",2.6882662208855124e-06
"(1, 0, 1)","(3, 0, 0)",2.6882662208855124e-06
"(1, 0, 0)","(2, 0, 1)",1.6792316436205567e-06
"(2, 0, 1)","(1, 0, 0)",1.6792316436205567e-06
"(2, 0, 0)","(2, 0, 1)",2.1296913340473286e-06
"(2, 0, 1)","(2, 0, 0)",2.1296913340473286e-06
"(3, 0, 0)","(2, 0, 1)",1.679255949774288e-06
"(2, 0, 1)","(3, 0, 0)",1.679255949774288e-06
"(1, 0, 0)","(3, 0, 1)",1.6792316436205565e-06
"(3, 0, 1)","(1, 0, 0)",1.6792316436205565e-06
"(2, 0, 0)","(3, 0, 1)",1.6792559497742874e-06
"(3, 0, 1)","(2, 0, 0)",1.6792559497742874e-06
